,Show,Season,Rating
2565,Futurama,8,7.5
2566,Futurama,8,7.7
2567,Futurama,8,7.6
2568,Futurama,8,8.1
2569,Futurama,8,7.6
2570,Futurama,8,6.9
2571,Futurama,8,7.4
2572,Futurama,8,7.4
2573,Futurama,8,7.3
2574,Futurama,8,7.8
2575,Futurama,8,7.7
2576,Futurama,8,8.0
2577,Futurama,8,8.0
2578,Veep,1,7.3
2579,Veep,1,7.7
2580,Veep,1,7.8
2581,Veep,1,7.8
2582,Veep,1,8.0
2583,Veep,1,8.1
2584,Veep,1,7.9
2585,Veep,1,8.2
2586,Veep,2,7.9
2587,Veep,2,8.0
2588,Veep,2,8.2
2589,Veep,2,8.1
2590,Veep,2,8.6
2591,Veep,2,8.0
2592,Veep,2,7.8
2593,Veep,2,8.1
2594,Veep,2,8.6
2595,Veep,2,8.8
2596,Veep,3,8.2
2597,Veep,3,8.1
2598,Veep,3,8.5
2599,Veep,3,8.3
2600,Veep,3,8.1
2601,Veep,3,8.2
2602,Veep,3,8.4
2603,Veep,3,8.8
2604,Veep,3,8.9
2605,Veep,3,8.6
2606,Veep,4,8.5
2607,Veep,4,8.4
2608,Veep,4,8.2
2609,Veep,4,8.3
2610,Veep,4,8.9
2611,Veep,4,8.1
2612,Veep,4,8.2
2613,Veep,4,8.4
2614,Veep,4,9.0
2615,Veep,4,9.0
2616,Veep,5,8.5
2617,Veep,5,8.2
2618,Veep,5,8.4
2619,Veep,5,9.0
2620,Veep,5,8.1
2621,Veep,5,8.8
2622,Veep,5,8.9
2623,Veep,5,8.9
2624,Veep,5,9.2
2625,Veep,5,8.7
2626,Veep,6,7.7
2627,Veep,6,8.2
2628,Veep,6,8.2
2629,Veep,6,8.1
2630,Veep,6,8.2
2631,Veep,6,8.1
2632,Veep,6,8.3
2633,Veep,6,8.0
2634,Veep,6,8.4
2635,Veep,6,8.5
2636,Veep,7,8.8
2637,Veep,7,8.3
2638,Veep,7,8.4
2639,Veep,7,8.5
2640,Veep,7,8.4
2641,Veep,7,8.6
2642,Veep,7,9.5
2643,Scrubs,1,8.5
2644,Scrubs,1,8.2
2645,Scrubs,1,8.0
2646,Scrubs,1,9.2
2647,Scrubs,1,8.2
2648,Scrubs,1,8.2
2649,Scrubs,1,8.1
2650,Scrubs,1,8.2
2651,Scrubs,1,8.1
2652,Scrubs,1,8.1
2653,Scrubs,1,7.9
2654,Scrubs,1,8.2
2655,Scrubs,1,8.0
2656,Scrubs,1,8.2
2657,Scrubs,1,8.6
2658,Scrubs,1,7.9
2659,Scrubs,1,8.0
2660,Scrubs,1,7.9
2661,Scrubs,1,8.1
2662,Scrubs,1,8.0
2663,Scrubs,1,7.8
2664,Scrubs,1,9.1
2665,Scrubs,1,8.8
2666,Scrubs,1,8.8
2667,Scrubs,2,8.7
2668,Scrubs,2,7.9
2669,Scrubs,2,8.0
2670,Scrubs,2,7.9
2671,Scrubs,2,8.0
2672,Scrubs,2,8.0
2673,Scrubs,2,8.0
2674,Scrubs,2,8.3
2675,Scrubs,2,8.1
2676,Scrubs,2,8.2
2677,Scrubs,2,8.3
2678,Scrubs,2,8.1
2679,Scrubs,2,8.6
2680,Scrubs,2,8.0
2681,Scrubs,2,8.7
2682,Scrubs,2,8.1
2683,Scrubs,2,8.0
2684,Scrubs,2,8.6
2685,Scrubs,2,8.0
2686,Scrubs,2,8.3
2687,Scrubs,2,8.1
2688,Scrubs,2,8.6
2689,Scrubs,3,8.2
2690,Scrubs,3,7.9
2691,Scrubs,3,8.0
2692,Scrubs,3,8.1
2693,Scrubs,3,8.2
2694,Scrubs,3,8.0
2695,Scrubs,3,8.5
2696,Scrubs,3,8.3
2697,Scrubs,3,8.0
2698,Scrubs,3,7.9
2699,Scrubs,3,8.0
2700,Scrubs,3,9.0
2701,Scrubs,3,8.7
